cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCI+UCM+UCR+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCD+UCI+UCSB+UCSD,5,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCD+UCI+UCSB+UCSC+UCSD,5,IGETC,success,6,94.5,False,18,18,18.0,19.5,18,3,
foothill,UCD+UCI+UCM+UCSB+UCSD,5,IGETC,success,6,97.5,False,18,18,19.5,19.5,19.5,3,
foothill,UCB+UCI+UCSB+UCSC+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCI+UCM+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCI+UCM+UCSB+UCSC+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCD+UCI+UCSC+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCB+UCD+UCI+UCM+UCSD,5,IGETC,success,6,94.5,False,18,18,18.0,19.5,18,3,
foothill,UCD+UCI+UCM+UCSC+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
foothill,UCB+UCI+UCM+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCD+UCR+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCR+UCSB+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCD+UCM+UCR+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCB+UCR+UCSB+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCM+UCR+UCSB+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCM+UCR+UCSB+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCD+UCR+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCD+UCM+UCR+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCD+UCM+UCR+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCM+UCR+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCB+UCD+UCSB+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCD+UCM+UCSB+UCSD,5,IGETC,success,5,88.5,False,18,19.5,18.0,18,15,0,
foothill,UCD+UCM+UCSB+UCSC+UCSD,5,IGETC,success,5,85.5,False,18,19.5,18.0,18,12,0,
foothill,UCB+UCM+UCSB+UCSC+UCSD,5,IGETC,success,5,79.5,False,18,19.5,18,18,6,0,
foothill,UCB+UCD+UCM+UCSC+UCSD,5,IGETC,success,5,82.5,False,18,18.0,19.5,18,9,0,
foothill,UCD+UCI+UCLA+UCR+UCSB,5,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCB+UCI+UCLA+UCR+UCSB,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCI+UCLA+UCR+UCSB+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCI+UCLA+UCM+UCR+UCSB,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCLA+UCR,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCD+UCI+UCLA+UCR+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCD+UCI+UCLA+UCM+UCR,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCI+UCLA+UCR+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCI+UCLA+UCM+UCR,5,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCI+UCLA+UCM+UCR+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCLA+UCSB,5,IGETC,success,5,87,False,18,18,18,18,15,0,
foothill,UCD+UCI+UCLA+UCSB+UCSC,5,IGETC,success,5,87,False,18,18,18,18,15,0,
foothill,UCD+UCI+UCLA+UCM+UCSB,5,IGETC,success,5,87,False,18,18,18,18,15,0,
foothill,UCB+UCI+UCLA+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCI+UCLA+UCM+UCSB,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCI+UCLA+UCM+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCLA+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCD+UCI+UCLA+UCM,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCD+UCI+UCLA+UCM+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCI+UCLA+UCM+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCD+UCLA+UCR+UCSB,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCLA+UCR+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCLA+UCM+UCR+UCSB,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCLA+UCR+UCSB+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCLA+UCM+UCR+UCSB,5,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCLA+UCM+UCR+UCSB+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCD+UCLA+UCR+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCD+UCLA+UCM+UCR,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCD+UCLA+UCM+UCR+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCLA+UCM+UCR+UCSC,5,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCB+UCD+UCLA+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCLA+UCM+UCSB,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCLA+UCM+UCSB+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCLA+UCM+UCSB+UCSC,5,IGETC,success,4,69,False,18,18,18,15,0,0,
foothill,UCB+UCD+UCLA+UCM+UCSC,5,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCD+UCI+UCR+UCSB,5,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCD+UCI+UCR+UCSB+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCD+UCI+UCM+UCR+UCSB,5,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCB+UCI+UCR+UCSB+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCI+UCM+UCR+UCSB,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCI+UCM+UCR+UCSB+UCSC,5,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCD+UCI+UCR+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCM+UCR,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCI+UCM+UCR+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCI+UCM+UCR+UCSC,5,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCSB+UCSC,5,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCB+UCD+UCI+UCM+UCSB,5,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCD+UCI+UCM+UCSB+UCSC,5,IGETC,success,5,84,False,18,18,18,18,12,0,
